artist_rank,artist,source_platform,source_url,result_count,set_title,channel,duration,created_on,requested_on,requested_by,status,archive_scope,notes
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Dekmantel Podcast 189 - Steffi,dekmantel,1:14:30,7/30/2018,12/16/2025,SecretStashRecords,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi at Dekmantel Selectors 2025,dekmantel,3:31:06,11/11/2025,11/11/2025,Richardkind666,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi* @ Sisyphos Dampfer (March 2024),Steffi* / Naozou,2:56:03,3/25/2024,10/15/2025,Kunokdev,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi* @ Sisyphos Dampfer (November 2024),Steffi* / Naozou,3:06:46,1/27/2025,10/15/2025,Kunokdev,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi* @ Sisyphos Dampfer (May 2025),Steffi* / Naozou,3:03:25,6/4/2025,10/15/2025,Kunokdev,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Candy Mountain Podcast #010: Steffi (dolly 15YRS mix),Candy Mountain,2:07:49,9/9/2025,9/11/2025,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Blue Soup with EVM128 b2b Matica and Steffi Bricks - June 2025,Blue Soup,1:58:44,6/30/2025,7/25/2025,texture,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Blasha b2b Allatt b2b Steffi b2b Virginia @ SOUNDIT Plaza (Barcelona),Candy Mountain,4:08:13,7/1/2025,7/9/2025,Richardkind666,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,"#550: Steffi & Virginia, Laurence Guy & J. Peacock, Devin Dare, Damian Rausch",Turned On,1:03:33,3/3/2025,6/19/2025,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,The Beat Mix: Steffi X Virginia,THE BEAT,0:58:15,4/21/2025,5/16/2025,DaanHa,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,The Mix 058: Steffi x Virginia,Mixmag,1:00:57,5/6/2025,5/9/2025,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi X Virginia - Ostgut Ton aus der Halle am Berghain (live) - @arteconcert,ARTE Concert,1:02:16,8/28/2021,5/5/2025,Komapatient,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,CoOp Presents with Steffi Bricks & Oliver Night - 22 April 2025,Rinse FM,0:59:57,4/22/2025,4/23/2025,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,rispe - Steffi - Herfstmix,rispe,0:58:12,4/2/2025,4/3/2025,Komapatient,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi / September 3 / 4pm-5pm,HÖR BERLIN,0:59:51,9/3/2020,11/20/2024,natiarej,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,048 - Steffi - fabric podcast,fabric,1:30:46,10/30/2024,11/9/2024,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Steffi at Dekmantel Ten,dekmantel,2:46:23,9/25/2024,9/26/2024,RoffaID,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Candy Mountain Podcast #001: Steffi b2b Blasha b2b Virginia b2b Allatt,Candy Mountain,2:31:26,6/1/2023,8/28/2024,mjberlin,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,Candy Mountain Podcast #003: Steffi x Virginia (Live at fabric 11-02-2023),Candy Mountain,2:29:16,12/18/2023,6/22/2024,The-Groove-Bot,Ready,visible_search_page,
41,Steffi,TrackID.net,https://trackid.net/audiostreams?keywords=Steffi,32,28/12/2023 Thursday tussenin Blasha & Allatt b2b Steffi De Club,DSAMS,9:16:19,4/4/2024,6/13/2024,sub_234,Ready,visible_search_page,
