Date,Year,Month,EventTitle,Rooms,ArtistsPerRoom,Pressetext,SourceURL,Notes
2024-01-06,2024,January,Klubnacht,Berghain,Berghain: Amotik | Mary Yuzovskaya | CHAMI face 2 face OPH | Olivia Mendez | Norman Nodge | Tasha | Kaiser,"Die erste Klubnacht in 2024 findet wie jedes Jahr an dieser Stelle in einem etwas intimeren Rahmen statt, und so öffnen wir heute nur das Berghain für ein feines Post-NYE-Techno-Workout mit überwiegend in Berlin lebenden Künstler*innen wie Amotik, Mary Yuzovskaya, Olivia Mendez und einem weiteren face-2-face-Set von CHAMI und OPH. Aus London kommt mit Tasha die Macherin der Partyreihe und des gleichnamigen Labels Neighborhood, auf dem sie mit Veröffentlichungen von Randomer, Forest Drive West oder Reflec ihren eigenen musikalischen Werdegang von Drum’n’Bass ihrer Anfangsjahre zu straightem Techno von Heute reflektiert.",https://www.berghain.de/de/event/76268/,Derived from berghain/klubnacht_2024_2026.md
2024-01-13,2024,January,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Abajour | Francesco Menduni | Violetta | Natalie Robinson | DJ City | Dinky | nd_baumecker; Berghain: Kyle Geiger | Paula Koski | Azu Tiwaline | Inox Traxx | Kwartz | Denise Rabe | Rødhåd,"Die DJ und Produzentin Azu Tiwaline lebt in der Wüste El Djerid in Südtunesien und verbindet in ihrer Musik Field Recordings aus ihrer Umgebung und Elemente traditioneller Berber-Musik mit reduzierten, hypnotischen Techno-Grooves. Auf ihrem kürzlich erschienenen zweiten Album The Fifth Dream taucht sie tief in einen meditativen Trance-Zustand ein und lässt darauf den französisch-iranischen Perkussionisten Cinna Peyghamy die Tombak, eine iranische Kelchtrommel, spielen. Auch ihre DJ-Sets versteht sie als eine Art Trance-Zustand-Forschung und spielt überwiegend Tracks mit Tribal-Elementen und geheimnisvoll klingenden Soundscapes. Wir freuen uns, Azu Tiwaline neben Kolleg*innen wie Inox Traxx, Paula Koski und Rødhåd zum ersten Mal im Rahmen der Klubnacht im Berghain zu hören. Panorama-Bar-Premiere auch für das französische DJ-Duo Abajour. Die zwei Brüder veranstalten Partys in Paris, spielen regelmäßig in Clubs wie Concrete, Rex oder Machine du Moulin Rouge und kombinieren dabei eine breitgefächerte Palette von Stilen wie Techno, House, New Beat, 90er Trance und Disco.",https://www.berghain.de/de/event/76286/,Derived from berghain/klubnacht_2024_2026.md
2024-01-20,2024,January,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Massimiliano Pagliara | Nathalie Seres | Cormac | Pablo Bozzi | Alison Swing | CHERIII | Alinka; Berghain: Fiedel | Setaoc Mass | Reka Zalan | Lolsnake | Amanda Mussi | Ron Albrecht | Erika,"Reka Zalan ist eine in Berlin lebende DJ, die ihrer Leidenschaft für elektronische Musik an verschiedenen Orten der Stadt nachgeht. Als Mitveranstalterin der zweimonatlich stattfindenden ://elements Party im ://about blank, wo sie auch Resident-DJ und Teil des Booking Teams ist, sowie als Mitglied des Kollektivs Coppi, einem Projektraum mit wöchentlicher Community-basierenden Studiosessions in einer Off-Location zwischen Friedrichshain und Lichtenberg, und last but not least als Mitarbeiterin in der Plattenladeninstitution Hard Wax, in der sie in den vergangenen vier Jahren ihr musikalisches Wissen vertiefen und ihren persönlichen Geschmack und Stil schärfen konnte. Zur heutigen Klubnacht spielt sie zusammen mit Acts wie der Detroiterin Erika, Lolsnake und Ron Albrecht im Berghain. Als DJ und Veranstalterin der Dig Deeper-Partyreihe hat die inzwischen in Berlin lebende Alison Swing die letzte Dekade von Downtown Los Angeles' Underground Dance Szene mitgeprägt, heute Nacht spielt sie zum ersten Mal in der Panorama Bar.",https://www.berghain.de/de/event/76299/,Derived from berghain/klubnacht_2024_2026.md
2024-01-27,2024,January,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Roi Perez | Yes'in | Gabrielle Kwarteng | livwutang | Josh Cheon | Ogazón | Mike Starr; Berghain: Sev Dah | Justine Perry | Vincent Neumann | Lea Occhi | Nørbak | DJ Maria. | David Fogarty,"Liberté, Égalité, Solidarité - Spectrum Waves ist ein Pariser LGBTQ+-Kollektiv, bei dem Freiheit, Diversität und Gleichheit im Mittelpunkt stehen. Das Kollektiv veranstaltet regelmäßig Partys im Gare des Mines, bei denen vor allem aufstrebende französische und internationale FLINTA*-DJs auflegen, ein Teil der Einnahmen wird an gemeinnützige Organisationen gespendet. Gegründet wurde Spectrum Waves 2017 von Lea Occhi, einer inzwischen in Berlin lebenden DJ, deren Sets von groovigen und schnell rollenden Techno mit Tribal-Elementen bestimmt sind. Zur heutigen Klubnacht spielt Occhi neben Kolleg*innen wie Justine Perry, DJ Maria. und David Fogarty zum ersten Mal im Berghain. Eine Etage höher gibt es neben Sets der New Yorkerin livwutang, Gabrielle Kwarteng und Dark-Entries-Macher Josh Cheon ein Wiedersehen mit dem marokkanischem DJ Yes'in, der in seinen Sets Funk, Disco, House und Techno zwischen organischen Grooves und minimalistischer Strenge mischt.",https://www.berghain.de/de/event/76320/,Derived from berghain/klubnacht_2024_2026.md
2024-02-03,2024,February,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Daniel Bell | BASHKKA | Jacob Meehan | Sedef Adasï | Mike Servito | Magda | Ady Toledano; Berghain: Efdemin | Peter Van Hoesen Live | Virginia | Fadi Mohem | ABS8LUTE | MARRØN | Quelza | Jin Synth,"Towards the center of time and surrounded by spirits heißt das neue Album des belgischen Techno-Producers Peter Van Hoesen, das am 1. März auf dem Brüsseler Label Vlek erscheint. Seinen dichten, puristischen Techno versieht der momentan in Ho Chi Min lebende Van Hoesen mit kristallinen Bleeps und obskuren industriellen Sounds, sein Sounddesign klingt auch zehn Jahre nach seinem letzten Album so futuristisch und außerweltlich wie kaum etwas anderes. Van Hoesen, der ausschließlich live spielt, präsentiert seine Musik heute im Rahmen unserer Klubnacht. Mit Daniel Bell, Magda und Mike Servito gibt es eine Etage höher einen Fokus auf US-DJs, die jeweils unterschiedliche Dekaden minimalistischer Tanzmusik prägten. Ersterer verschmolz Anfang der 90er mit seinem Cybersonik-Projekt zusammen mit Richie Hawtin alamierende 303s mit dem brutalen Stomp euopäischen Hardcores, als DBX veröffentlichte er komplett skelettierte Techno-Funk-Tracks und schuf mit „Losing Control“ vor 30 Jahren einen der morbidesten Dancefloor-Hits seiner Generation. In den 2000er Jahren entwickelte er seinen reduzierten Sound weiter in Richtung House und war u.a. Teil der Minimal-Supergroup Narod Niki, seiner musikalischen Integrität ist Bell dabei bis heute treu geblieben. Daniel Bell wird heute zum ersten Mal ein langes Closing-Set in der Panorama Bar spielen.",https://www.berghain.de/de/event/76344/,Derived from berghain/klubnacht_2024_2026.md
2024-02-10,2024,February,Klubnacht,"Panorama Bar, Berghain, Säule",Panorama Bar: Zombies In Miami | Jennifer Loveless | Rob Manga | Ceri | Soundstream | PARAMIDA | Richard Akingbehin; Berghain: Ø [Phase] | SORCERY Live | ¥ØU$UK€ ¥UK1MAT$U | Haruka | BLANKA | Adiel | Ben Klock | Phase Fatale; Säule: Sepehr Live,"Der in Berlin lebende Kanadier Merlin Ettore ist einer der Pioniere des Hybrid-Drummings, also der Kombination aus akustischen und elektronischen Schlagzeug. Durch die Symbiose ist es ihm möglich, einen komplexen, fordernden Sound zu kreieren, in dem gigantische Beats auf heftig modulierte Klänge treffen. Bei seinem Sorcery-Projekt spielt er mit einem rein elektronischen Set-up und veröffentlicht die Musik u.a. auf Kangding Rays Label ara. Zu dieser Klubnacht spielt er zum ersten Mal live im Berghain. Mit Haruka und ¥ØU$UK€ ¥UK1MAT$U gibt es außerdem zwei exzellente DJs aus Japan zu hören. Haruka hat jahrelang die Future-Terror-Partys von DJ Nobu mitorganisiert, mit dem er auch seinen sanften, verführerischen Mix-Stil teilt. Von Sanftheit kann bei Yukimatsu wiederum keine Rede sein, der in Osaka geborene DJ übersetzt seine Vorliebe für eklektische Sounds in adrenalingetränkte, intensivste Sets. Live in der Säule spielt am Sonntagnachmittag Sepehr, ein DJ, Produzent und Label-Betreiber aus der Bay Area mit Sitz in New York. Seine Musik reicht von aphrodisierenden, langsam schgmurgelnden Acidhouse über psychedelisch starke Drum-Cocktails, auf seinem Label Shaytoon veröffentlicht er überwiegend elektronische Musik von Künstler*innen aus dem Nahen Osten.",https://www.berghain.de/de/event/77197/,Derived from berghain/klubnacht_2024_2026.md
2024-02-17,2024,February,Klubnacht,"Panorama Bar, Berghain, Säule",Panorama Bar: Luigi Di Venere | DJ Minx | Etapp Kyle | nd_baumecker | Chloé | Marcel Dettmann | Partok; Berghain: Olivia Mendez | Yonti | Antenes | Anika Kunst | Pär Grindvik | James Ruskin | Answer Code Request; Säule: Rival Consoles Live,"Der Londoner Produzent Ryan Lee West, besser bekannt unter dem Namen Rival Consoles, ist der erste Act, der vor 15 Jahren von dem Plattenlabel Erased Tapes unter Vertrag genommen wurde. Auf ingesamt neun Album arbeitete er seitdem an einer Art Humanisierung elektronischen Musikequipments, das seine Musik, ähnlich wie die von Jon Hopkins oder Nils Frahm, organisch und menschlich klingen lässt. Seinen einnehmenden Mix aus Ambient, elektronischen Shoegaze und Minimaltechno präsentiert Rival Consoles zur heutigen Klubnacht erstmals live in der Säule. Berghain-Premiere außerdem für die spanische DJ Anika Kunst, die ihren zackigen, Chord-getriebenen Techno auf Bens Sims Symbolism veröffentlicht und Resident im Macarena Club in Barcelona ist. Die Sets der in Brooklyn, New York lebenden DJ und Produzentin Antenes reichen von Acid-lastigen Techno über flirrenden Electro bis dunklen Ambient-Sounds, ihre eigene Musik, produziert auf selbstgebauten Sequenzern und modularen Synthesizern, veröffentlichte sie auf L.I.E.S. und dem kanadischen Ambient-Label Silent Season.",https://www.berghain.de/de/event/77198/,Derived from berghain/klubnacht_2024_2026.md
2024-02-24,2024,February,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Massimiliano Pagliara | Âme | Saint Guel | Ouissam | Shy One | Kenny Dope | Fiedel; Berghain: The Lady Machine | Volpe Live | Stojche | Fred P | Lars Huismann | Rosati | Steffi | Paquita Gordon,"Gaston Volpe ist ein argentinischer DJ, dessen Musik maßgeblich von dem 90er-Jahre-Sound der Achse Detroit-Berlin beeinflusst ist. Auf seinem gerade gestarteten Label Transcent ist mit der The Soul Is Healed eine superbe EP erschienen, die sich mit ihren in Hall getränkten Tracks, den einnehmenden Akkorden und synkopierter Percussion nicht vor den großen Dubtechno-Tracks dieser Ära verstecken muss. Sämtliche Tracks wurden von ihm in Live-Jams in einem Take aufgenommen, beste Voraussetzungen also für seinen Live Gig im Berghain zur heutigen Klubnacht. Mit dem in Berlin lebenden Lars Huismann und den Amsterdamer Rosati spielen außerdem zwei Acts mit aktuellen Releases auf Steffis Label Dolly. Rosati bezeichnet seinen Stil als „hand-crafted music“, ihm ist es wichtig, immer eine menschliche Note in seiner Musik zu spüren, sei es bei Techno oder House. Mit dem New Yorker Kenny Dope kommt eine der wichtigsten House-DJs und Produzenten, der nicht nur den US-Dance-Sound der 90er Jahre geprägt hat wie kaum ein anderer. Der Sohn puerto-ricanischer Einwanderer hat solo oder zusammen mit Little Louie Vega unter dem Namen Masters At Work unzählige erfolgreiche House-Remixes veröffentlicht, wurde vier mal für den Grammy nominiert und ist ein begnadeter DJ und lebende Beats-Enzyklopädie - supa dope in der Panorama Bar.",https://www.berghain.de/de/event/77199/,Derived from berghain/klubnacht_2024_2026.md
2024-03-02,2024,March,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Ed Davenport | Nick Höppner | Roi Perez | AIDA | Dee Diggs | Ross From Friends | Sherø; Berghain: Inox Traxx | Kangding Ray Live | Rebecca Goldberg | Elisa Bee | Rene Wise | Beste Hira | DJ Nobu | Marcal,"David Letellier alias Kangding Ray hat eine faszinierende musikalische Entwicklung durchlaufen, von seinen Anfängen in der Ambient-Musik hin zu einem unverwechselbaren Techno-Stil, der geprägt ist von Präzision und Struktur, eingewoben in eine glasklare Sci-Fi-Ästhetik. In seiner fast architektonisch anmutenden Musik verschmelzen tiefste Bässe, vertrackte Rhythmen und wundersame Melodien mit abstraktem Sounddesign, wie man heute Abend bei seinem Live-Act im Berghain erleben kann. Rebecca Goldberg ist eine Künstlerin aus Detroit, die als Mitglied des Kollektivs Detroit Underground Musik- und Multimediaprojekte veröffentlicht hat, die von Acid Techno bis zu experimenteller elektronischer Musik reichen. Die 313 Acid Queen spielt heute zum ersten Mal auf der Klubnacht. In der Panorama Bar spielt unter anderem AIDA, eine iranisch-kanadische Künstlerin, die ihre Karriere in der Rave-Szene von Vancouver begann, bevor sie nach San Francisco zog. Ihr Sound hat sich von Minimal zu Electro, Breaks und Progressive House entwickelt. Neben ihrem DJing betreibt sie Apranik Records, ein Plattenlabel mit Wurzeln im iranischen Aktivismus, das Künstler*innen iranischer Herkunft unterstützt.",https://www.berghain.de/de/event/77200/,Derived from berghain/klubnacht_2024_2026.md
2024-03-09,2024,March,Klubnacht,"Berghain, Panorama Bar",Berghain: Blue Hour | Barker | Rolando | Shinedoe | Virginia | OK Williams | Norman Nodge; Panorama Bar: Lakuti | Lakkes | Marie Pravda | Batu | Chez Damier | DJ Deep | Cinthie,"Der aus Bristol stammende Batu prägt mit seinem Label Timedance seit 2014 den britischen Techno-Sound. Als Produzent und mit seiner Radioshow A Long Strange Dream erforscht er vor allem langsamere und experimentellere musikalische Gefilde, in seinen DJ-Sets nimmt er natürlich mehr den Dancefloor ins Visier und präsentiert verschiedene globale Clubsounds und Tempi von Drum'n'Bass bis Techno. Zu dieser Klubnacht spielt er in der Panorama Bar mit DJ-Kolleg*innen, die das Deep von Deephouse nicht nur im Namen geschrieben haben. Ende der 80er Jahre war Chez Damier maßgeblich an der Gründung des legendären Clubs The Music Institute in Detroit beteiligt. Er arbeitete als A&R für KMS und gründete zusammen mit Ron Trent in Chicago das wegweisende Label Prescription, auf dem Mitte der 90er ikonische Deephouse-Tracks wie „Morning Factory“ erschienen. Mit DJ Deep ist auch einer der Wegbereiter des wurzeltreuen Techno und House in Frankreich vertreten, der in seinen Sets, auf seinem Label Deeply Rooted und in seinen Radioshows stets die Finger auf Chicago, Detroit und New York legt.",https://www.berghain.de/de/event/77201/,Derived from berghain/klubnacht_2024_2026.md
2024-03-16,2024,March,Klubnacht,"Berghain, Panorama Bar",Berghain: Blawan | DVS1 | Fadi Mohem | JakoJako | Verraco | Philippa Pacho | Isabel Soto; Panorama Bar: Wallace | Tama Sumo | Mutualism | Ryan Elliott B2B Ogazón | Avalon Emerson | nd_baumecker,"Verraco, DJ und Produzent aus Medellín, Kolumbien, ist bekannt für seine Fusion aus lateinamerikanischem Tribal-Techno, Hyper-Electronica und modernem Perreo-Bass. Er ist Mitbetreiber von TraTraTrax und Insurgentes, wichtigen Plattformen für Latinx-Producer*innen. Verracos Debüt-EP „Escándaloo“ auf Voam, dem Label von Blawan und Pariah, war mit seinen ungestümen Kicks und eskalierenden Sirenen ein Festival-Rave-Hit im vergangenen Sommer. Heute Abend spielt er unter anderem mit der Venezolanerin Isabel Soto zur Klubnacht im Berghain. Die in Montreal lebende DJ-Gründerin von NYXII Records und Mitglied des Arder-Kollektivs hat in den vergangenen zwei Jahren erste Tracks auf Labels wie Soma und Second State veröffentlicht. Wallace, der in der beschaulichen mittelalterlichen Stadt Shrewsbury in den West Midlands lebt, hat lange Clubnächte in Edinburgh organisiert und konzentriert sich nun voll und ganz auf seine Fähigkeiten als DJ und Produzent. Sein Debütalbum Red, Yellow, Black erschien im vergangenen Jahr auf Mule Musiq, auf dem Naturgeräusche und Feldaufnahmen mit Wallaces emotional aufgeladenem Housesound verschmelzen.",https://www.berghain.de/de/event/77202/,Derived from berghain/klubnacht_2024_2026.md
2024-03-23,2024,March,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Alex Kassian b2b Running Hot | Fantastic Man b2b Tornado Wallace | Massimiliano Pagliara | Hercules & Love Affair | PARAMIDA | Laurine b2b Cecilio | Telephones b2b Stella Zekri; Berghain: Amanda Mussi | Arthur Robert Live | Altinbas | Clarisa Kimskii | Blasha & Allatt | Zisko | Yanamaste | Ben Klock,"Einer der Ratschläge, die PARAMIDA den Künstler*innen gab, die ihr im Laufe der Jahre Demos für ihr Label Love On The Rocks schickten, lautete: „Stell dir vor, es ist 1992, du bist auf einem Rave in Goa am Strand. Es ist 8 Uhr morgens, welcher Track wird gespielt? Mach diesen Track!“ Zu dieser Zeit wurde in Goa alles Mögliche gespielt: Techno, Italian House, New Beat und Post Punk, eine Verschmelzung verschiedener Genres, die sich erst später zu dem entwickeln sollte, was wir unter Goa Trance verstehen. Und genau in der Tradition dieser noch wilden, ungeschliffenen Mischung aus psychedelischer, extrem positiv vibrierender Tanzmusik steht auch das Label PARAMIDAS, dessen Musik anlässlich der Klubnacht in einer speziellen Back2Back-DJ-Nacht in der Panorama Bar zu erleben sein wird. Freuen kann man sich auch auf Andy Butler alias Hercules & Love Affair, der in seinen DJ-Sets von Proto-House über die goldene Ära der 90er Jahre in New York bis hin zu Chicago Jack Tracks und aktueller House-Musik spielt. Einen Live-Act gibt es im Berghain von Arthur Robert, österreichischer Techno-Produzent und Dozent für Sounddesign, mit einer Vorliebe für vom Detroiter Erbe inspirierten Grooves.",https://www.berghain.de/de/event/77203/,Derived from berghain/klubnacht_2024_2026.md
2024-03-30,2024,March,Oster Klubnacht,"Berghain, Panorama Bar",Berghain: Dax J | François X | Lolsnake | Kyle Geiger | Amotik | Dasha Rush | Dustin Zahn | Honey Dijon | Lea Occhi | ABS8LUTE; Panorama Bar: DJ Holographic | ItaloJohnson | Hiroko Yamamura | Kai Alcé | Kikelomo | Stacey Hotwaxx Hale | Gabrielle Kwarteng | L.B. Dub Corp | DJ Rush | Steffi | Palms Trax | Jimi Jules B2B Âme,"Berghain starts Sunday 4pm after SNAX Club.Die Klubnacht am langen Osterwochenende beginnt wie immer in der Panorama Bar mit einigen special treats wie einem House-Set von DJ Rush aus Chicago. Seine ersten Gigs spielte er bereits Ende der 80er Jahre im legendären Music Institute, bevor er Anfang der 90er Jahre seinen ganz eigenen, sexuell aufgeladenen House-Stil entwickelte, den er auf Labels wie Trax, Dance Mania, Relief und Djax-Up veröffentlichte. Gleichzeitig war er einer der ersten US-House- und Techno-Acts, die eine queere Bühnenpersönlichkeit kreierten - Bass in your face in Stiletos. Auch wenn Rush in den letzten 20 Jahren für einen sehr harten und schnellen Techno-Sound steht, sind seine Wurzeln Disco und Chicago House, wie man an diesem Abend erleben kann. Am Sonntag ab 16 Uhr öffnen wir nach dem SNAX Club den Durchgang zum Berghain mit DJs wie Honey Dijon, Dax J und Lolsnake. Ein Abschlussset im doppelten Sinne gibt es von ItaloJohnson - das Berliner Trio löst sich nach 15 Jahren offiziell auf und spielt in der Panorama Bar ihr allerletztes gemeinsames Set. Fairwell, und danke für die Musik!",https://www.berghain.de/de/event/77204/,Derived from berghain/klubnacht_2024_2026.md
2024-04-06,2024,April,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Soundstream | Paula Tape | Titonton Duvanté | BASHKKA | Virginia | Chida | DJ Dustin; Berghain: Quelza | Slam Live | Fiedel | Norman Nodge | JakoJako | Denise Rabe | Oscar Mulero | Mareena,"Das Glasgower Duo Slam ist eine schottische Techno-Institution, die in mehr als drei Jahrzehnten alle Entwicklungen der elektronischen Musik miterlebt hat. Stuart McMillan und Orde Meikle begannen ihre Karriere in Glasgow, bevor sie 1989 ihren ersten Auftritt im einflussreichen Sub Club hatten. Der Durchbruch gelang ihnen 1993 mit dem Techno-Klassiker „Positive Education“, gefolgt von der Veröffentlichung der ersten Platten von Daft Punk, die ihr Label Soma als eine der ersten Adressen für Dance Music in Europa etablierten. Auch 30 Jahre später lassen Soma nicht locker, ihr Label kann mittlerweile auf über 600 Veröffentlichungen zurückblicken und auf ihren eigenen Releases wie der aktuellen Activate EP ist von Altersmilde keine Spur: rohe, mentale Techno-Hypnose auf höchstem Intensitätslevel. Zur heutigen Klubnacht spielt Slam live im Berghain. Ebenfalls ein Vorreiter in seinem Bereich ist Chida, der seit Anfang der 90er Jahre die Underground-House-Szene Tokios prägt. Bekannt für seine Marathonsets von oft mehr als zwölf Stunden, legte er regelmäßig bei den Cocktail D'Amore-Partys in der Grießmühle auf und veröffentlichte auf seinem zwischen 2009 und 2019 fein kuratierten Label Ene balearische House-Tunes von gleichgesinnten Produzent*innen aus Tokio, London, Stockholm und Berlin.",https://www.berghain.de/de/event/77205/,Derived from berghain/klubnacht_2024_2026.md
2024-04-13,2024,April,Klubnacht,"Berghain, Panorama Bar",Berghain: Fadi Mohem | Sterac b2b Colin Benders Live | Tasha | Boris | Anika Kunst | Truncate | Steffi; Panorama Bar: Binh | PARAMIDA | Moxie | Pablo Bozzi | Gerd Janson | Roi Perez | Victor,"Mann kennt Colin Benders bereits als Musiker mit ungewöhnlicher Biographie (ehemaliger Jazz- und HipHop-Trompeter, der als Bandleader eines 50-köpfigen Orchesters Crossover-Erfolge feierte, bevor er seine Leidenschaft für Modular-Synthesizer und live gejammten Techno entdeckte), zur heutigen Klubnacht wird er zusammen mit Steve Rachmad alias Sterac ein exklusives Live-Set im Berghain präsentieren, komplett improvisiert und mit einem beeindruckenden Arsenal an Hardware gespielt. Es wird erst ihr zweiter gemeinsamer Auftritt nach ihrem Debüt auf dem letztjährigen Fusion Festival sein. Panorama Bar-Debüt für Victor. In den 90er Jahren in Berlin geboren, tauchte er früh in die Welt der elektronischen Musik ein und begann bereits mit 16 Jahren in den Clubs der Stadt aufzulegen. Mittlerweile hat er Residencies im Münchner Blitz Club sowie bei den Festivals Lighthouse und Nachtdigital, sein eigenes Plattenlabel Magic Power kommt auf vier Veröffentlichungen.",https://www.berghain.de/de/event/77206/,Derived from berghain/klubnacht_2024_2026.md
2024-04-20,2024,April,Klubnacht,"Panorama Bar, Berghain, Säule",Panorama Bar: Mystery Affair | Luzie | Violetta | Frits Wentink | nd_baumecker | Mr Tophat | Yamour; Berghain: Aurora Halal | Terence Fixmer Live | Don Williams | Mary Yuzovskaya | Kwartz | GiGi FM | Rødhåd | Efdemin; Säule: Mathew Jonson Live,"Panorama-Bar-Debüt für die Berliner DJ Yamour. Die Vinyl-Liebhaberin hat in den letzten Jahren einen Sound entwickelt, der sich stark an den Wurzeln des amerikanischen Techno und House orientiert und den sie während ihrer vierjährigen Tätigkeit in der Qualitätskaderschmiede Hard Wax verfeinern und vertiefen konnte. Ebenfalls zum ersten Mal dabei ist der Niederländer Frits Wentik. Als Teil des Duos Will & Ink und Betreiber des gleichnamigen Plattenlabels trieb er zunächst einen die Grenzen des Genres sprengenden Techno-Begriff voran, um sich in den letzten Jahren auf House-Tracks zu konzentrieren, die sich durch rohe Drums, analoge Bässe und wilde Lo-Fi-Samples auszeichnen. Sein experimentelles Spoken-Word-Album Safe Passage, das er zusammen mit dem Fotografen Erik Madigan Heck und der Schauspielerin Tilda Swinton aufnahm, erschien vor drei Jahren auf Dekmantel. Mit Terence Fixmer im Berghain und Mathew Jonson am Sonntagnachmittag in der Säule sind außerdem zwei der wohl besten Techno-Live-Acts ihres Genres zu hören.",https://www.berghain.de/de/event/77207/,Derived from berghain/klubnacht_2024_2026.md
2024-04-27,2024,April,Klubnacht,"Berghain, Panorama Bar, Säule",Berghain: OPH | BLANKA | Azu Tiwaline | Phase Fatale | Daria Kolosova | Barker | Etapp Kyle; Panorama Bar: musclecars | Budino | GIDEÖN | Tama Sumo B2B Lakuti | Tony Humphries | Boo Williams | Mark Grusane | Jason Kendig; Säule: Portable Live,"Ein Fest für alle, die sich für die Wurzeln des amerikanischen House begeistern. Tony Humphries entwickelte seit 1982 als Resident-DJ des Newarker Clubs The Zanzibar einen spirituellen, deepen House-Sound, der als Jersey Sound bekannt wurde. Ein damals neuer, gefühlvoller Tribal-Sound, der nach dem Ende der Disco-Ära Einflüsse von Gospel, R'n'B, Jazz und tanzbarem New Wave vereinte. Humphries gilt als einer der bahnbrechendsten DJs dieser Ära und hat seitdem kontinuierlich an seinem kulturübergreifenden Stil gearbeitet. Eine andere Generation, ähnliche Einflüsse: Das New Yorker Duo musclecars veranstaltet seit 2018 seine Brooklyn-Party Colouring Lessons und ihre Sets sind, wie auch ihre aktuellen Releases auf BBE, beeinflusst von Afro-Latin-Percussion, Jazz, Soul, Acid und klassischem House, den sie auf moderne Weise präsentieren. Boo Williams und Mark Grusane können als Pioniere des Chicago House bezeichnet werden. Williams' DJ-Karriere begann wie die von Grusane bereits Anfang der 80er Jahre, als Produzent roher House-Funk-Tracks auf Kultlabels wie Relief galt er schließlich als die zweite Welle der Chicagoer House-Blütezeit Mitte der 90er Jahre. In der Säule präsentiert Portable am Sontagnachmittag seine neue Veröffentlichung “Magnetic Fields”.",https://www.berghain.de/de/event/77208/,Derived from berghain/klubnacht_2024_2026.md
2024-05-04,2024,May,Klubnacht,"Panorama Bar, Berghain",Panorama Bar: Radio Slave | Juan Ramos | Suze Ijó | Nathalie Seres | OK Williams | Simon Caldwell | Rotciv; Berghain: Answer Code Request | Phara Live | Inox Traxx | Paula Koski | Pariah | Luke Hess | Steffi B2B Regis | Nick Höppner,"Inspiriert von Sounds aus Detroit, Berlin und Großbritannien sowie von Post-Punk, Wave, EBM und Electro kreiert Phara Techno-Tracks voller treibender Energie und Drum-Sequenzen. Seine Musik findet sich auf Labels wie Soma, Planet Rhythm und seinem eigenen Label Phaar. Der langjährige Brüsseler Fuse-Club-Resident und Vinyl-DJ spielt seit zwei Jahren Live-Shows, bei denen er mit einem minimalistischen Set-up, der Groovebox Korg EMX-1, maximale Wirkung auf dem Dancefloor erzielt – heute Nacht live im Berghain. Der Detroiter Luke Hess ist seit mindestens 15 Jahren eine sichere Bank für seriösen, Dub-beeinflussten Techno. Seine Platten auf Labels wie Echocord, FXHE, Planet E und seinem eigenen DeepLabs zeugen von einem tiefen Verständnis für deepere elektronische Musik und deren technische Umsetzung - wobei ihm sein ingenieurwissenschaftlicher Hintergrund hilfreich sein dürfte. Nachdem er seinen letzten geplanten Gig im Berghain im August letzten Jahres leider kurzfristig absagen musste, freuen wir uns, ihn dieses Mal im Rahmen der Klubnacht zu hören - neben DJs wie Steffi und Radio Slave, auf deren Labels Hess in den letzten Jahren ebenfalls veröffentlicht hat.",https://www.berghain.de/de/event/77209/,Derived from berghain/klubnacht_2024_2026.md
2024-05-11,2024,May,Klubnacht,"Berghain, Panorama Bar, Garten",Berghain: MARRØN | Jin Synth | Primal State | Yonti | Luigi Di Venere | Blasha & Allatt | Adiel; Panorama Bar: Chloé | Boris | Aurora Halal | Ryan Elliott b2b Francesco del Garda | Massimiliano Pagliara; Garten: Nat Wendell | Christian AB,"House ist bekanntermaßen nicht nur ein feeling, sondern im weitesten Sinne auch healing. Ihre üblichen Wirkungsstädten geswitcht haben zur heutigen Klubnacht Aurora Halal, die in der Panorama Bar auflegen wird, sowie Luigi Di Venere, der ein Techno-Set auf dem großen Floor spielt. Dort wird auch die in London lebende DJ und Produzentin Jin Synth zu hören sein, die gekonnt verschiedene analoge Noise-Elemente in ihre Musik einwebt und mit speziellen Mikrofonen Umgebungsgeräusche in ihre hypnotischen Klanglandschaften integriert.",https://www.berghain.de/de/event/77210/,Derived from berghain/klubnacht_2024_2026.md
